,NAME,count,text
1,Alabama,131,"The eastern indigo snake is the longest snake native to the United States. Dry, sandy oak and pine forests are important for this species and Defenders is working across the country to protect both federal and private lands that are home to these snakes. "
2,Alaska,9,"Polar bears are the largest living carnivores on Earth. Their survival is threatened by loss of habitat and sea ice from human disturbance and climate change. Defenders is currently working to save the most important ￼denning habitat for the Southern Beaufort Sea population, found in￼ Arctic National Wildlife Refuge, from oil drilling."
3,Arizona,64,The jaguar is the largest cat in the Americas. Their numbers are declining because of habitat destruction and poaching. Defenders played a key role in establishing the Northern Jaguar Reserve in Mexico and continues to work to return this majestic cat to its historic range in the United States. 
4,Arkansas,36,"Sometimes known as the ""snot otter,"" the hellbender is North America's largest salamander. Ore and gravel mining have lowered the water quality in their river habitats. Defenders launched the Southeastern Hellbender Conservation Initiative (SEHCI) working with private landowners for habitat restoration."
5,California,296,"When the last free-flying condor was taken into captivity in 1987, the population was at an all-time low of 22 individuals. Condors were reintroduced into the wild in 1991, and their population has now grown to over 400. Defenders has worked with the California legislature to phase out lead ammunition to reduce lead poisoning - the number one cause of death in adult condors."
6,Colorado,34,Gunnison sage grouse males try to attract a mate by fluttering their wings and creating popping sounds from two air sacs on their chest. This grouse has become one of the most endangered birds in North America as a result of habitat loss and degradation. Defenders is heavily engaged in initiatives to ensure the protection of this grouse and the sagebrush habitat it depends on.
7,Connecticut,12,"Roseate terns found in northeastern North America tend to nest in colonies with the more aggressive common tern, providing them protection from predators. Roseate tern researchers often need to wear head protection due to the common terns’ aggression. Their numbers have decreased in some regions due to increased competition and predation by gulls. "
8,Delaware,11,"Each year the red knot travels more than 9,000 miles from breeding to wintering grounds - that's over 3 coast-to-coast U.S. road trips! In the past decade, the population has dropped 80%. Defenders was part of the successful fight to list the species under the ESA."
9,District of Columbia,2,"This aquatic crustacean resembles a very tiny shrimp – about the size of your little fingernail!  But this doesn't make the amphipod any less important. As the only federally endangered species that lives exclusively in Washington D.C., it is an important indicator about the health of local creeks."
10,Florida,134,"The panther is recognized as Florida's official state animal and as one of the most endangered mammals in the country. Defenders lobbied for the panther's listing almost 50 years ago and now continues to fight to protect large, interconnected tracts of wild land for their survival."
11,Georgia,76,"The red-cockaded woodpecker is the only woodpecker to create hollows in living pine trees, taking up to two years to dig a single home. Logging decimated their population, but their numbers have slowly improved since listing in 1973. Defenders is fighting Trump administration attempts to reduce or eliminate protections for the species."
12,Hawaii,503,"Thought to be extinct, a small colony of three H. woodii plants was discovered in April 2019 during a drone flight over Kauai's Kalalau Valley cliffs. Like other endangered native Hawaiian species, it faces threats from invasive plants, introduced animals, and rock slides. This rediscovery brings new hope and a reminder that every individual counts in preventing extinction."
13,Idaho,15,"Gray wolves were eradicated from the lower 48 states by the mid-1900s, and, despite substantial gains since reintroduction to Idaho and Yellowstone National Park in 1995, are still far from their historic numbers. Defenders pioneers practical solutions to enhance coexistence between wolves and humans, such as nonlethal deterrents to deter wolves from preying on livestock. Defenders also monitors legislatures and wildlife agencies for potential threats to wolf recovery."
14,Illinois,34,"In 2017, the rusty patched bumble bee – which builds its nests underground in wetlands, fields and grasslands – was the first bee native to mainland United States to be listed as endangered under the ESA.  With the rapid spread of bee diseases and parasites and potent insecticides impacting these important pollinators, 75% of our crops and many wild plant species may suffer. "
15,Indiana,27,The Indiana bat was part of the first group of species listed under the predecessor of the ESA in 1967. It is particularly vulnerable to habitat destruction and a fungal disease called white-nose syndrome. Defenders is working with university researchers and state and federal agencies to secure federal funding for white-nose syndrome research and education. 
16,Iowa,19,"Northern long-eared bats populations have declined up to 99% in the northeast. Wind energy is one of the fastest-growing industries globally, essential for transitioning to renewable energy sources. However, industrial wind turbines negatively impact bats like the northern long-eared that roost in trees and/or migrate. Defenders’ is engaged across the country to promote responsible wind energy, advocating for safer turbine operation and innovative bat-deterrent technology."
17,Kansas,17,"The Topeka shiner lives primarily in small prairie streams and oxbow ponds containing clear, clean water. Bringing back shiners will involve providing new habitat by restoring water quality. Defenders has stood up against the Trump administration's attempts to weaken national water quality standards."
18,Kentucky,47,"The Kentucky cave shrimp is tiny, eyeless and translucent, and found only in the Mammoth Cave area. They were thought to be extinct in 1970, but the population was rediscovered after the passing of the Clean Water Act. Defenders’ work addresses growing concerns about water pollution and habitat quality for this and other listed species."
19,Louisiana,24,"Kemp’s ridley sea turtle is the rarest species of sea turtle. Outside of nesting locations in Mexico, the major habitat for Kemp's ridleys is the nearshore waters of the northern Gulf of Mexico. Populations were devastated due to egg harvesting. Defenders helps improve coastal-construction policies to protect the nesting habitat and beach access for future sea turtles. "
20,Maine,12,"With only 90 breeding females left, each individual is critical to the survival of the North Atlantic right whale. Defenders is building support in Congress to enact the SAVE Right Whales Act, to provide much-needed funding to develop and deploy technologies to protect the species from fishing entanglements and vessel strikes."
21,Maryland,20,"The bog turtle lives in mountain bogs, one of the rarest habitats on Earth: only 500 acres of mountain bogs remain, and area smaller than Central Park in NYC! Defenders is a member of the Bog Learning Network, which is focused on protecting and restoring mountain bogs and their native species."
22,Massachusetts,17,"The Plymouth redbelly turtle was the first freshwater turtle in the U.S. to be listed as endangered. The turtle lives in the pinelands of Massachusetts and gets its name from its reddish undershell. Residential development leads to the loss of nesting and basking habitat for these turtles. Defenders supports efforts similar to the Massachusetts ""head start"" programs which help raise turtle hatchlings until they are big and strong enough to survive on their own."
23,Michigan,26,The Michigan monkey flower is the only plant endemic to the state of Michigan. It is a semi-aquatic species that produces clumps of stems - clumps can contain hundreds of stems all belonging to a single individual! Much of the monkey-flower’s habitat along the shorelines of the Great Lakes has been lost to recreational damage and residential development. 
24,Minnesota,19,"Lynx are mysterious animals that have earned the nickname ""shadow of the forest"". The habitat of the lynx and its primary prey, the snowshoe hare, will likely decrease in extent because of climate change, harming lynx populations. Defenders petitioned for the lynx to be listed under the ESA and supports lynx reintroduction efforts."
25,Mississippi,50,"Dusky gopher frogs spend most of their lives underground in burrows created by gopher tortoises. In 2018, a question over designated critical habitat for the frog became the first ESA case to go to the Supreme Court in nearly a decade. Defenders was there in support of the ESA and critical habitat and will continue to fight for at-risk species."
