FID,OBJECTID,NFFID,NFSLANDU_2,DEFENDERS,DESC,TODO,IMG,CRED,NUM_SP,LINK,SP_OF_INT
127,261,451,Allegheny National Forest,0,,,,,,,
15,72,51,Angeles National Forest,0,,,,,,,
89,175,486,Angelina National Forest,0,,,,,,,
143,277,21,Apache National Forest,0,,,,,,,
80,166,121,Apalachicola National Forest,0,,,,,,,
100,191,91,Arapaho National Forest,0,,,,,,,
151,285,496,Ashley National Forest,0,,,,,,,
132,266,252,Beaverhead National Forest,0,,,,,,,
34,100,231,Bienville National Forest,0,,,,,,,
55,121,562,Bighorn National Forest,0,,,,,,,
133,267,253,Bitterroot National Forest,0,,,,,,,
70,156,471,Black Hills National Forest,0,,,,,,,
91,182,137,Boise National Forest,0,,,,,,,
64,130,574,Bridger National Forest,0,,,,,,,
4,27,497,Cache National Forest,0,,,,,,,
2,25,139,Caribou National Forest,0,,,,,,,
144,278,327,Carson National Forest,0,,,,,,,
96,187,141,Challis National Forest,1,Defenders is currently working to ensure proper protections for at-risk species by conducting science on biodiversity and habitat connectivity that will inform the US Forest Service's revision plans for this national forest.,The comment period for this revision plan is open! Click on the link below to support our work!,https://live.staticflickr.com/65535/48804014968_be25bf70e4_k.jpg,TBD,,https://www.fs.usda.gov/scnf,Grizzly Bear
78,164,131,Chattahoochee National Forest,0,,,,,,,
49,115,551,Chequamegon National Forest,0,,,,,,,
32,98,481,Cherokee National Forest,0,,,,,,,
118,252,226,Chippewa National Forest,0,,,,,,,
51,117,11,Chugach National Forest,0,,,,,,,
145,279,328,Cibola National Forest,0,,,,,,,
69,155,142,Clearwater National Forest,0,,,,,,,
16,73,52,Cleveland National Forest,0,,,,,,,
61,127,22,Coconino National Forest,0,,,,,,,
52,118,143,Coeur D Alene National Forest,0,,,,,,,
30,96,523,Colville National Forest,0,,,,,,,
73,159,7,Conecuh National Forest,0,,,,,,,
146,280,23,Coronado National Forest,0,,,,,,,
42,108,368,Croatan National Forest,0,,,,,,,
136,270,256,Custer National Forest,0,,,,,,,
31,97,186,Daniel Boone National Forest,0,,,,,,,
87,173,487,Davy Crockett National Forest,0,,,,,,,
82,168,232,De Soto National Forest,0,,,,,,,
131,265,257,Deerlodge National Forest,0,,,,,,,
37,103,236,Delta National Forest,0,,,,,,,
102,236,421,Deschutes National Forest,0,,,,,,,
93,184,498,Dixie National Forest,0,,,,,,,
90,176,456,El Yunque National Forest,0,,,,,,,
17,74,53,Eldorado National Forest,0,,,,,,,
129,263,361,Finger Lakes National Forest,0,,,,,,,
94,185,499,Fishlake National Forest,0,,,,,,,
135,269,258,Flathead National Forest,0,,,,,,,
45,111,466,Francis Marion National Forest,0,,,,,,,
103,237,422,Fremont National Forest,0,,,,,,,
53,119,259,Gallatin National Forest,0,,,,,,,
84,170,516,George Washington National Forest,0,,,,,,,
105,239,522,Gifford Pinchot National Forest,0,,,,,,,
147,281,331,Gila National Forest,0,,,,,,,
56,122,93,Grand Mesa National Forest,0,,,,,,,
128,262,511,Green Mountain National Forest,0,,,,,,,
72,158,94,Gunnison National Forest,0,,,,,,,
138,272,261,Helena National Forest,0,,,,,,,
124,258,216,Hiawatha National Forest,0,,,,,,,
36,102,233,Holly Springs National Forest,0,,,,,,,
35,101,234,Homochitto National Forest,0,,,,,,,
48,114,171,Hoosier National Forest,0,,,,,,,
3,26,293,Humboldt National Forest,0,,,,,,,
119,253,217,Huron National Forest,0,,,,,,,
5,28,54,Inyo National Forest,0,,,,,,,
38,104,517,Jefferson National Forest,0,,,,,,,
62,128,26,Kaibab National Forest,0,,,,,,,
153,287,146,Kaniksu National Forest,0,,,,,,,
81,167,191,Kisatchie National Forest,0,,,,,,,
18,75,56,Klamath National Forest,0,,,,,,,
137,271,263,Kootenai National Forest,0,,,,,,,
19,76,57,Lassen National Forest,0,,,,,,,
54,120,264,Lewis & Clark National Forest,0,,,,,,,
148,282,332,Lincoln National Forest,0,,,,,,,
67,153,266,Lolo National Forest,0,,,,,,,
20,77,58,Los Padres National Forest,0,,,,,,,
106,240,426,Malheur National Forest,0,,,,,,,
120,254,218,Manistee National Forest,0,,,,,,,
65,131,502,Manti-La Sal National Forest,0,,,,,,,
121,255,242,Mark Twain National Forest,0,,,,,,,
97,188,567,Medicine Bow National Forest,0,,,,,,,
6,29,59,Mendocino National Forest,0,,,,,,,
21,78,61,Modoc National Forest,0,,,,,,,
50,116,547,Monongahela National Forest,0,,,,,,,
26,92,526,Mt. Baker National Forest,0,,,,,,,
108,242,424,Mt. Hood National Forest,0,,,,,,,
41,107,366,Nantahala National Forest,0,,,,,,,
99,190,281,Nebraska National Forest,0,,,,,,,
68,154,152,Nezperce National Forest,0,,,,,,,
125,259,552,Nicolet National Forest,0,,,,,,,
79,165,123,Ocala National Forest,0,,,,,,,
27,93,427,Ochoco National Forest,0,,,,,,,
77,163,132,Oconee National Forest,0,,,,,,,
29,95,521,Okanogan National Forest,0,,,,,,,
109,243,527,Olympic National Forest,0,,,,,,,
33,99,124,Osceola National Forest,0,,,,,,,
47,113,221,Ottawa National Forest,0,,,,,,,
85,171,15,Ouachita National Forest,0,,,,,,,
40,106,42,Ozark National Forest,0,,,,,,,
95,186,153,Payette National Forest,0,,,,,,,
139,273,99,Pike National Forest,0,,,,,,,
44,110,367,Pisgah National Forest,0,,,,,,,
23,80,63,Plumas National Forest,0,,,,,,,
149,283,27,Prescott National Forest,0,,,,,,,
58,124,101,Rio Grande National Forest,0,,,,,,,
110,244,428,Rogue River National Forest,0,,,,,,,
101,192,102,Roosevelt National Forest,0,,,,,,,
98,189,103,Routt National Forest,0,,,,,,,
46,112,488,Sabine National Forest,0,,,,,,,
66,132,154,Salmon National Forest,1,Defenders is currently working to ensure proper protections for at-risk species by conducting science on biodiversity and habitat connectivity that will inform the US Forest Service's revision plans for this national forest.,The comment period for this revision plan is open! Click on the link below to support our work!,https://live.staticflickr.com/65535/48804014968_be25bf70e4_k.jpg,TBD,,https://www.fs.usda.gov/scnf,Grizzly Bear
88,174,489,Sam Houston National Forest,0,,,,,,,
57,123,282,Samuel R. McKelvie National Forest,0,,,,,,,
24,81,66,San Bernardino National Forest,0,,,,,,,
59,125,104,San Isabel National Forest,0,,,,,,,
140,274,106,San Juan National Forest,0,,,,,,,
150,284,333,Santa Fe National Forest,0,,,,,,,
0,23,157,Sawtooth National Forest,0,,,,,,,
25,82,67,Sequoia National Forest,0,,,,,,,
9,53,68,Shasta National Forest,0,,,,,,,
122,256,166,Shawnee National Forest,0,,,,,,,
141,275,568,Shoshone National Forest,0,,,,,,,
8,31,69,Sierra National Forest,0,,,,,,,
28,94,429,Siskiyou National Forest,0,,,,,,,
60,126,28,Sitgreaves National Forest,0,,,,,,,
111,245,431,Siuslaw National Forest,0,,,,,,,
22,79,55,Six Rivers National Forest,0,,,,,,,
107,241,528,Snoqualmie National Forest,0,,,,,,,
39,105,43,St. Francis National Forest,0,,,,,,,
134,268,156,St. Joe National Forest,0,,,,,,,
10,54,72,Stanislaus National Forest,0,,,,,,,
86,172,467,Sumter National Forest,0,,,,,,,
123,257,227,Superior National Forest,0,,,,,,,
11,55,73,Tahoe National Forest,0,,,,,,,
75,161,8,Talladega National Forest,0,,,,,,,
1,24,158,Targhee National Forest,0,,,,,,,
92,183,571,Teton National Forest,0,,,,,,,
12,69,291,Toiyabe National Forest,0,,,,,,,
83,169,238,Tombigbee National Forest,0,,,,,,,
152,286,12,Tongass National Forest,1,Defenders has been engaged in advocacy to maintain the Tongass National Forest's Roadless Rule protections,,https://live.staticflickr.com/65535/48804014968_be25bf70e4_k.jpg,TBD,,https://www.fs.usda.gov/tongass/,
63,129,29,Tonto National Forest,0,,,,,,,
7,30,74,Trinity National Forest,0,,,,,,,
74,160,9,Tuskegee National Forest,0,,,,,,,
13,70,506,Uinta National Forest,0,,,,,,,
112,246,432,Umatilla National Forest,0,,,,,,,
113,247,433,Umpqua National Forest,0,,,,,,,
